Date,financial,financial 12M,financial 1M
2019-01,8676.0,,
2019-02,8690.0,,14.0
2019-03,8707.0,,17.0
2019-04,8721.0,,14.0
2019-05,8727.0,,6.0
2019-06,8732.0,,5.0
2019-07,8753.0,,21.0
2019-08,8768.0,,15.0
2019-09,8771.0,,3.0
2019-10,8792.0,,21.0
2019-11,8804.0,,12.0
2019-12,8814.0,,10.0
2020-01,8823.0,147.0,9.0
2020-02,8845.0,155.0,22.0
2020-03,8827.0,120.0,-18.0
2020-04,8566.0,-155.0,-261.0
2020-05,8585.0,-142.0,19.0
2020-06,8605.0,-127.0,20.0
2020-07,8620.0,-133.0,15.0
2020-08,8648.0,-120.0,28.0
2020-09,8685.0,-86.0,37.0
2020-10,8715.0,-77.0,30.0
2020-11,8730.0,-74.0,15.0
